role,coverage,components,lines,bytes,score,path,root,title
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",463,16274,1124,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/eisenhart_rosetta_master_doc_vNext.md.txt,repo-ultra-high-entropy,"﻿Eisenhart Rosetta Master Doc vNext (No‑Drift, Quantum‑First)"
part/support,content-scanned,"entropic_root,carrier,axes_engine",125,10362,1114,/Users/joshuaeisenhart/wiki/concepts/probe-doc-result-map.md,wiki-concepts-current,Probe Doc Result Map
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",125,9249,1092,/Users/joshuaeisenhart/wiki/concepts/g-tower-hopf-weyl-integration.md,wiki-concepts-current,G-Tower / Hopf / Weyl Integration
part/support,content-scanned,"carrier,axes_engine,spacetime_gravity",159,7893,1080,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/SIM_CATALOG_v1.3.md,repo-a1-refined-fuel,SIM Catalog v1.3 (from simson.zip results files)
part/support,content-scanned,"direct_model,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",405,19081,1076,/Users/joshuaeisenhart/wiki/concepts/field-wide-compression-packet-template.md,wiki-concepts-current,Field Wide Compression Packet Template
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",288,11757,1046,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/AXIS_FOUNDATION_COMPANION_v1.4.md,repo-a1-refined-fuel,AXIS FOUNDATION COMPANION (Overlay-only) — v1.4
part/support,content-scanned,"direct_model,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",105,8456,1039,/Users/joshuaeisenhart/wiki/concepts/axis0-old-sim-rerun-audit-2026-06-05.md,wiki-concepts-current,Axis0 Old Sim Rerun Audit 2026-06-05
part/support,content-scanned,"constraint_root,carrier,axes_engine",199,10841,1030,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/tier_b_spawn_plan.md,wiki-project-codex-ratchet,last_updated: 2026-04-17T07:07:25Z
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",181,10621,1022,/Users/joshuaeisenhart/wiki/concepts/sim-tranche-2026-04-14-axioms-tools-gerbes-motives.md,wiki-concepts-current,"2026-04-14 Sim Tranche — Axioms, Tool Depth, Gerbes, G-Tower, Motives, and Clifford Micro-Sims"
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",2161,108452,970,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/THREAD_S_FULL_SAVE/THREAD_S_SAVE_SNAPSHOT_v2.txt,repo-a1-refined-fuel,BEGIN THREAD_S_SAVE_SNAPSHOT v2
part/support,content-scanned,"entropic_root,carrier,axes_engine",99,9417,970,/Users/joshuaeisenhart/wiki/concepts/axis0-current-doctrine-state-card.md,wiki-concepts-current,Axis0 Current Doctrine State Card
part/support,content-scanned,"constraint_root,carrier,axes_engine",203,9062,956,/Users/joshuaeisenhart/wiki/concepts/current-geometry-spine-status.md,wiki-concepts-current,Geometry Spine Status Router
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",87,5554,952,/Users/joshuaeisenhart/wiki/concepts/axis-and-entropy-reference.md,wiki-concepts-current,Axis And Entropy Reference
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",212,8242,938,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis4_seq03_seq04_both_dirs.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",286,22846,934,/Users/joshuaeisenhart/wiki/concepts/mmm-language-sea-quotes-couplings-triples.md,wiki-concepts-current,"MMM Language Sea, Quotes, Couplings, and Triples"
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",142,10194,924,/Users/joshuaeisenhart/wiki/concepts/qit-engine-geometry-entropy-bridge.md,wiki-concepts-current,QIT Engine Geometry Entropy Bridge
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",1881,85049,918,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/THREAD_S_FULL_SAVE/DUMP_LEDGER_BODIES.txt,repo-a1-refined-fuel,BEGIN DUMP_LEDGER_BODIES v1
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",88,7081,906,/Users/joshuaeisenhart/wiki/concepts/igt-atom-result-audit.md,wiki-concepts-current,IGT Atom Result Audit
part/support,content-scanned,"dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",113,5302,885,/Users/joshuaeisenhart/wiki/concepts/i-scalar-and-axis-0-genealogy.md,wiki-concepts-current,I-Scalar and Axis 0 Genealogy
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",343,12436,882,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/ run_axis12_axis0_link_v1.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"direct_model,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",141,7081,878,/Users/joshuaeisenhart/wiki/concepts/cross-field-toe-genealogy.md,wiki-concepts-current,Cross Field ToE Genealogy
part/support,content-scanned,"constraint_root,carrier,axes_engine",108,6368,874,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/tier_b_weyl.md,wiki-project-codex-ratchet,last_updated: 2026-04-17T08:45:36Z
part/support,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",1409,50449,864,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/BOOTPACKS/BOOTPACK_THREAD_S_v1.64.md,repo-older-legacy,BEGIN BOOTPACK_THREAD_S v1.64
part/support,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",307,19347,863,/Users/joshuaeisenhart/wiki/concepts/current-research-overlays.md,wiki-concepts-current,Current Research Overlays
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",382,14413,854,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_ultra2_axis0_ab_stage16_axis6.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"direct_model,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",140,9092,843,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/holodeck-fep-igt-axis0-research-matrix-2026-06-06.codex2-receipt.json,wiki-project-codex-ratchet,"""worker"": ""codex2"","
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",503,17527,830,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_batch_v3.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",381,14769,816,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/ run_mega_axis0_ab_stage16_axis6.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",398,14854,808,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_ultra_axis0_ab_axis6_sweep.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",146,6384,806,/Users/joshuaeisenhart/wiki/concepts/weyl-flux.md,wiki-concepts-current,Weyl Flux
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",332,11183,796,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis12_harden_triple_v1.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,carrier,axes_engine",100,8418,790,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/canonical_conformance_audit.md,wiki-project-codex-ratchet,Canonical Conformance Audit — 2026-04-17
part/support,content-scanned,"cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",231,9796,789,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/eisenhart_master_doc_for_gemini_v1.md,repo-ultra-high-entropy,Eisenhart Engine Master Doc (Send This to Gemini / Grok Heavy)
part/support,content-scanned,"cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",276,10864,789,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/eisenhart_master_doc_for_gemini_v1.md.txt,repo-ultra-high-entropy,﻿Eisenhart Engine Master Doc (Send This to Gemini / Grok Heavy)
part/support,content-scanned,"entropic_root,carrier,axes_engine",168,7995,784,/Users/joshuaeisenhart/wiki/concepts/terrain-laws-and-loop-geometry.md,wiki-concepts-current,Terrain Laws And Loop Geometry
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",79,6414,782,/Users/joshuaeisenhart/wiki/concepts/formal-constraints-and-geometry.md,wiki-concepts-current,Formal Constraints and Geometry
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",412,15688,780,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_ultra4_full_stack.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",116,10329,778,/Users/joshuaeisenhart/wiki/concepts/tool-lego-integration-matrix.md,wiki-concepts-current,Tool Lego Integration Matrix
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",227,8611,766,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis4_type2_all_seq_both_dirs.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"carrier,axes_engine",91,4717,762,/Users/joshuaeisenhart/wiki/concepts/cl3-cl6-micro-sims.md,wiki-concepts-current,Cl3 and Cl6 Micro-Sims
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",313,8720,760,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/rosetta-xi-adversarial-hardening-audit-2026-06-06.md,wiki-project-codex-ratchet,Rosetta/Xi Adversarial Hardening Audit
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",9630,337291,748,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/_steward_scan_latest.json,wiki-project-codex-ratchet,"""now"": ""2026-04-29T14:37:02.608588-07:00"","
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",196,7179,730,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis4_seq02_both_dirs.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"constraint_root,carrier,axes_engine",139,6046,728,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/tier_d_spawn_plan.md,wiki-project-codex-ratchet,Tier D spawn plan
part/support,content-scanned,"constraint_root,carrier,axes_engine",170,7336,726,/Users/joshuaeisenhart/wiki/concepts/pauli-on-weyl-loop-interaction.md,wiki-concepts-current,Pauli On Weyl Loop Interaction
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",275,39163,718,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/SKILL_SOURCE_CORPUS.md,repo-older-legacy,Skill Source Corpus
part/support,content-scanned,"constraint_root,carrier,axes_engine",94,6513,708,/Users/joshuaeisenhart/wiki/concepts/clifford-geometric-algebra-reference.md,wiki-concepts-current,Clifford Geometric Algebra Reference
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",191,6804,706,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis4_seq01_both_dirs.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",189,11564,702,/Users/joshuaeisenhart/wiki/concepts/quantum-shannon-theory-reference.md,wiki-concepts-current,Quantum Shannon Theory Reference
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",317,11182,696,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis0_negsagb_stress.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,carrier,axes_engine",409,12590,692,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simson/results_axis12_altchan_v1.json,repo-a1-refined-fuel,"""cycles"": 64,"
part/support,content-scanned,"entropic_root,carrier,axes_engine",409,13053,692,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simson/results_axis12_paramsweep_v1.json,repo-a1-refined-fuel,"""cycles"": 64,"
part/support,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",39,5040,692,/Users/joshuaeisenhart/wiki/concepts/my-inputs-on-retrocausality.md,wiki-concepts-current,My Inputs on Retrocausality
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",102,6565,680,/Users/joshuaeisenhart/wiki/concepts/geometry-ingredient-map.md,wiki-concepts-current,Geometry Ingredient Map
part/support,content-scanned,"constraint_root,carrier,axes_engine",129,5062,680,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/tier_b_hopf.md,wiki-project-codex-ratchet,last_updated: 2026-04-17T08:49:02Z
part/support,content-scanned,"entropic_root,carrier,axes_engine",544,11432,676,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/ultra high entropy docs/txt/grok rosetta stone.txt,repo-ultra-high-entropy,﻿Expanded Rosetta Stone and Mapping (v1.5++)
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",102,10584,674,/Users/joshuaeisenhart/wiki/concepts/attractor-basin-classifier-case-table.md,wiki-concepts-current,type: concept
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",225,9083,664,/Users/joshuaeisenhart/wiki/concepts/research-inventory-and-foundations.md,wiki-concepts-current,Research Inventory and Foundational Findings
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",228,8135,662,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_stage16_sub4_axis6u.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",167,10565,662,/Users/joshuaeisenhart/wiki/concepts/resource-theories-quantum-reference.md,wiki-concepts-current,Resource Theories Quantum Reference
part/support,content-scanned,"dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",218,8774,651,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/AXIS0_SPEC_OPTIONS_v0.2.md,repo-a1-refined-fuel,AXIS0_SPEC_OPTIONS_v0.2
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",270,8872,650,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/axis4_seq_cycle_sim.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",257,8800,636,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis0_sagb_entangle_seed.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",282,9354,636,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis0_tiny_matched_control.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",294,10511,632,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis0_traj_corr_metrics.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"constraint_root,carrier,axes_engine",103,6605,632,/Users/joshuaeisenhart/wiki/concepts/executable-root-axiom-micro-sims.md,wiki-concepts-current,Executable Root-Axiom Micro-Sims
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",89,7557,630,/Users/joshuaeisenhart/wiki/concepts/nominalism-in-this-system.md,wiki-concepts-current,Nominalism In This System
part/support,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",161,13195,626,/Users/joshuaeisenhart/wiki/concepts/igt-four-strategy-perception-decomposition.md,wiki-concepts-current,IGT Four-Strategy Perception Decomposition
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",235,7339,620,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis4_sims.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",86,6539,620,/Users/joshuaeisenhart/wiki/concepts/entanglement-theory.md,wiki-concepts-current,Entanglement Theory
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",127,8495,616,/Users/joshuaeisenhart/wiki/concepts/tensor-network-axis0.md,wiki-concepts-current,Tensor Network Substrate for Axis 0
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",64,2775,614,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/sim_evidence_pack.txt,repo-a1-refined-fuel,BEGIN SIM_EVIDENCE v1
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",370,12316,608,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis0_historyop_rec_suite_v1.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,carrier,axes_engine",75,5431,608,/Users/joshuaeisenhart/wiki/concepts/taijitu-probe-reconciliation-card.md,wiki-concepts-current,Taijitu Probe Reconciliation Card
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",272,9311,606,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis0_traj_corr_suite.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",189,14180,606,/Users/joshuaeisenhart/wiki/concepts/qit-basin-engine-synthesis.md,wiki-concepts-current,QIT Basin Engine Synthesis Snapshot
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",64,3618,602,/Users/joshuaeisenhart/wiki/concepts/_archive/06-entropy-sweep-protocol.md,wiki-concepts-current,Entropy Sweep Protocol
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",238,8682,598,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_engine32_axis0_axis6_attack.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"constraint_root,carrier,axes_engine",266,11157,594,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/TERRAIN_MATH_LEDGER_v1.md,repo-a1-refined-fuel,TERRAIN MATH LEDGER v1
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",228,7290,594,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis0_mi_discrim_branches.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",237,7710,594,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis0_mi_discrim_branches_ab.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,carrier,axes_engine",221,5753,590,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simson/results_axis4_type2_all_seq_both_dirs.json,repo-a1-refined-fuel,"""axis3_sign"": -1,"
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",217,7772,584,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_stage16_axis6_mix_control.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,axes_engine",168,5189,584,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simson/results_stage16_sub4_axis6u.json,repo-a1-refined-fuel,"""n_vec"": ["
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",71,4518,574,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/AXES_MASTER_SPEC_v0.2.md,repo-a1-refined-fuel,AXES_MASTER_SPEC_v0.2
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",270,14002,570,/Users/joshuaeisenhart/wiki/concepts/a2-intent-summary.md,wiki-concepts-current,A2 Intent Summary
part/support,content-scanned,entropic_root,595,10825,560,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simson/results_S_SIM_AXIS12_CHANNEL_REALIZATION_V4.json,repo-a1-refined-fuel,"""grid"": {"
part/support,content-scanned,entropic_root,200,5210,560,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simson/results_S_SIM_AXIS4_SEQ_ALL_BIDIR_V1.json,repo-a1-refined-fuel,"""SEQ01"": {"
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",254,9195,546,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis12_harden_v2_triple.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"constraint_root,carrier,axes_engine",124,7808,542,/Users/joshuaeisenhart/wiki/concepts/g-structure-variant-sim-ledger.md,wiki-concepts-current,G-Structure Variant Sim Ledger
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",278,9360,538,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/ run_axis0_boundary_bookkeep_sweep_v2.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",167,9481,538,/Users/joshuaeisenhart/wiki/concepts/nominalist-cs-framing.md,wiki-concepts-current,Nominalist CS Framing
part/support,content-scanned,"entropic_root,carrier,axes_engine",114,6914,534,/Users/joshuaeisenhart/wiki/concepts/igt-to-qit-engine-genealogy.md,wiki-concepts-current,IGT Pattern Structure (independent of QIT engines)
part/support,content-scanned,"entropic_root,carrier,axes_engine",53,3449,532,/Users/joshuaeisenhart/wiki/concepts/entropy-layer-source-digest.md,wiki-concepts-current,Entropy Layer Source Digest
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",62,3835,526,/Users/joshuaeisenhart/wiki/concepts/current-pre-axis-sim-status-keep-open-diagnostic-broken.md,wiki-concepts-current,Current Pre-Axis Sim Status Keep Open Diagnostic Broken
part/support,content-scanned,"carrier,axes_engine,spacetime_gravity",167,8334,524,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/rosetta-xigrad-operational-theory-correlation-2026-06-06.hermes-verification.json,wiki-project-codex-ratchet,"""schema"": ""HERMES_CONTROLLER_VERIFICATION_v1"","
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",213,7541,520,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis12_topology4_channelgrid_v1.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",262,13358,518,/Users/joshuaeisenhart/wiki/concepts/tooling-status.md,wiki-concepts-current,Tooling Status
part/support,content-scanned,"direct_model,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",331,12954,518,/Users/joshuaeisenhart/wiki/concepts/topic-map.md,wiki-concepts-current,Topic Map
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",56,4463,512,/Users/joshuaeisenhart/wiki/concepts/constraint-on-distinguishability-full-math.md,wiki-concepts-current,Constraint On Distinguishability Full Math
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",148,6955,512,/Users/joshuaeisenhart/wiki/concepts/f01-n01-root-constraint-basin-pressure.md,wiki-concepts-current,F01 and N01 Root Constraint Basin Pressure
part/support,content-scanned,"entropic_root,carrier,axes_engine",118,6272,512,/Users/joshuaeisenhart/wiki/concepts/log2-z2-structural-constant.md,wiki-concepts-current,log(2) as Z₂ Structural Constant
part/support,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",829,32751,510,/Users/joshuaeisenhart/Codex-Ratchet/system_v5/READ ONLY Reference Docs/Older Legacy/BOOTPACKS/BOOTPACK_THREAD_A_v2.60.md,repo-older-legacy,BEGIN BOOTPACK_THREAD_A v2.60
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",187,8078,510,/Users/joshuaeisenhart/wiki/concepts/qit-engine-dev-technical-brief.md,wiki-concepts-current,QIT Engine Dev Technical Brief
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",290,18629,502,/Users/joshuaeisenhart/wiki/concepts/enforcement-and-process-rules.md,wiki-concepts-current,Enforcement And Process Rules
part/support,content-scanned,"cosmology,entropic_root,constraint_root,carrier,axes_engine",85,7046,499,/Users/joshuaeisenhart/wiki/concepts/constraint-surface-and-process.md,wiki-concepts-current,Constraint Surface And Process
part/support,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",39,3497,498,/Users/joshuaeisenhart/wiki/concepts/axis-0-1-2-qit-packet.md,wiki-concepts-current,Axis 0 1 2 QIT Packet
part/support,content-scanned,"entropic_root,carrier,axes_engine,spacetime_gravity",186,6370,492,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/sims/simpy/run_axis12_channel_realization_suite.py,repo-a1-refined-fuel,!/usr/bin/env python3
part/support,content-scanned,"constraint_root,carrier,axes_engine",116,8217,488,/Users/joshuaeisenhart/wiki/concepts/nominalist-cs-jp-systems-bridge.md,wiki-concepts-current,Nominalist CS and JP Systems Terms Bridge
